ticker,name,sector,industry,currency,price,mktcap_B,pe,forward_pe,pb,ev_ebitda,ps,roe,roa,profit_margin,gross_margin,operating_margin,fcf,operating_cf,total_revenue,debt_equity,current_ratio,quick_ratio,total_debt,revenue_growth,earnings_growth,earnings_quarterly_growth,div_yield,payout_ratio,target_price,analyst_rating,num_analysts,beta,week52_high,week52_low,fcf_yield,upside_pct,group,score,grade,tier,days_to_earnings,opt_expiration,opt_dte,opt_strike,opt_pct_otm,opt_bid,opt_ask,opt_mark,opt_spread_pct,opt_oi,opt_iv,opt_roc,opt_ann_yield,opt_capital_secured
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,USD,80.74,50.37,23.608187,17.856707,2.13265,14.41,3.4338956,9.358,2.3929998,13.757,45.743,16.680999,-7018250240.0,4083000064,14668999680,1.52832,0.707,0.379,36081999872,14.1,20.8,22.2,294.0,66.67,89.52941,1.44444,17,0.44,84.23,65.21,-13.93,10.9,US_Utilities,50,B,🟠 WATCH,,,,,,,,,,,,,,
SO,Southern Company (The),Utilities,Utilities - Regulated Electric,USD,97.45,109.08,24.859694,19.821333,3.0283723,13.238,3.6911538,11.043,3.2809999999999997,14.689,48.469,12.735,-3460124928.0,9802000384,29553000448,1.90586,0.646,0.338,74074996736,10.1,-22.1,-22.1,304.0,75.0,101.23684,2.47826,19,0.405,100.84,83.09,-3.17,3.9,US_Utilities,50,B,🟠 WATCH,,,,,,,,,,,,,,
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USD,208.84,369.39,88.49153,12.958615,-112.88648,14.783,6.0397043,6225.0,9.807,6.909999999999999,71.62000499999999,34.108,18337748992.0,19029999616,61160001536,,0.671,0.412,68400001024,10.0,,,331.0,276.79,249.13792,1.83871,29,0.364,244.81,164.39,4.96,19.3,US_Healthcare,50,B,🟠 WATCH,,,,,,,,,,,,,,
OXY,Occidental Petroleum Corporati,Energy,Oil & Gas E&P,USD,62.97,62.45,46.644444,20.460018,2.23774,8.204,2.8920043,5.929,2.743,10.772,69.819,10.309,2053874944.0,10531999744,21592999936,0.63804,0.936,0.56,23350999040,148.9,,,165.0,71.11,61.28,2.65385,25,0.23,67.45,34.78,3.29,-2.7,US_Energy,49,C,🟠 WATCH,,,,,,,,,,,,,,
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,USD,62.77,55.17,18.089336,16.436197,1.964079,13.608,3.3425794,9.741,3.108,18.163,49.019,22.038000999999998,-9005875200.0,5360999936,16506000384,1.50094,0.773,0.352,50156998656,20.4,365.5,323.1,425.0,76.949996,65.625,2.8,16,0.658,67.57,48.07,-16.32,4.5,US_Utilities,49,C,🟠 WATCH,,,,,,,,,,,,,,
DIR-UN.TO,DREAM INDUSTRIAL REIT,Real Estate,REIT - Industrial,CAD,13.07,3.81,22.534483,11.566372,0.7823068,21.446,7.256366,3.5720002,2.4459999999999997,32.395,77.282,41.422,-660845376.0,301951008,524991008,0.68511,1.166,0.1,3282775040,1.8,-73.4,-72.5,536.0,120.68,15.125,1.5,10,1.23,13.62,9.48,-17.35,15.7,CA_REITS,48,C,🟠 WATCH,,,,,,,,,,,,,,
WN.TO,WESTON GEORGE,Consumer Defensive,Grocery Stores,CAD,99.85,38.18,38.110687,18.648493,8.485595,9.449,0.5917614,18.154,6.696000000000001,1.77,31.995,7.112,4839625216.0,6262000128,64511000576,1.55266,1.102,0.197,19579000832,,,,119.0,44.55,109.625,2.25,8,0.535,104.5,78.10667,12.68,9.8,CA_Consumer,48,C,🟠 WATCH,,,,,,,,,,,,,,
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,USD,76.72,330.21,25.236843,22.185274,10.259428,22.65,6.887938,43.323,9.147,27.339999999999996,61.626000000000005,24.656999,-1461250048.0,7408000000,47941001216,1.3979300000000001,1.459,0.885,47914000384,2.4,3.6,3.5,269.0,67.11,83.53826,1.70833,23,0.361,82.0,65.35,-0.44,8.9,US_Consumer_Staples,48,C,🟠 WATCH,,,,,,,,,,,,,,
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,USD,80.6,248.7,12.875399,10.168769,1.5152085,,3.1071854,11.732,1.047,26.659,0.0,29.938,,-19000999936,80041000960,,,,443507998720,5.0,13.1,5.6,223.0,27.16,99.3,1.85185,25,1.056,97.76,58.42,,23.2,US_Finance,48,C,🟠 WATCH,,,,,,,,,,,,,,
RY.TO,ROYAL BANK OF CANADA,Financial Services,Banks - Diversified,CAD,227.34,317.36,15.624742,13.069378,2.4678946,,5.003757,15.395,0.927,33.137,0.0,46.194,,-38312001536,63424000000,,,,470622011392,7.5,13.8,12.8,289.0,42.580003,245.07143,1.8,14,0.919,240.34,151.25,,7.8,CA_Banks,46,C,🟠 WATCH,,,,,,,,,,,,,,
